,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,conventional_commits
0,gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,MIT License,48517,69,0,3896,3,80.8,5,2122,1788,1.6,982574,0.8880899999999999,angular,9489
1,ant-design,https://github.com/ant-design/ant-design,TypeScript,MIT License,65911,69,0,1519,6,53.2,76,2488,1936,2.6,34898,0.8770899999999999,angular,7255
2,three.js,https://github.com/mrdoob/three.js,JavaScript,MIT License,66127,131,0,1720,8,60.0,12,783,583,2.5,23400,0.8706299999999999,eslint,7822
3,frappe,https://github.com/frappe/frappe,Python,MIT License,2019,117,0,419,6,72.6,43,618,493,1.2,38421,0.8213600000000001,angular,11498
4,serverless,https://github.com/serverless/serverless,JavaScript,MIT License,38454,70,0,955,12,21.6,64,584,364,2.4,4073,0.8094399999999999,angular,2684
5,vue-cli,https://github.com/vuejs/vue-cli,JavaScript,MIT License,27082,61,0,421,10,7.9,24,481,348,1.8,14487,0.77915,angular,2855
6,vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,MIT License,29042,53,0,632,5,38.2,72,1205,704,1.2,3269,0.7581100000000001,angular,7049
7,renovate,https://github.com/renovatebot/renovate,TypeScript,GNU Affero General Public License v3.0,4231,49,0,333,10,44.6,1131,7434,7166,0.3,1335,0.75585,angular,8284
8,webpack-cli,https://github.com/webpack/webpack-cli,JavaScript,MIT License,2052,50,0,115,12,14.5,7,472,454,3.3,19884,0.75338,angular,2021
9,sequelize,https://github.com/sequelize/sequelize,JavaScript,MIT License,23459,127,1,1048,7,4.2,29,413,123,1.1,8906,0.75117,angular,1864
10,docusaurus,https://github.com/facebook/docusaurus,TypeScript,Other,20967,43,0,506,7,20.1,26,549,455,3.7,700,0.74669,angular,2413
11,quasar,https://github.com/quasarframework/quasar,JavaScript,MIT License,17241,64,0,400,6,32.2,164,550,450,2.0,1326,0.74328,angular,7133
12,webpack-dev-server,https://github.com/webpack/webpack-dev-server,JavaScript,MIT License,6674,101,0,237,8,1.4,5,274,227,3.5,21086,0.73795,angular,647
13,rxjs,https://github.com/ReactiveX/rxjs,TypeScript,Apache License 2.0,23766,71,0,453,7,12.0,22,223,147,1.2,3163,0.72545,angular,3921
14,electron-builder,https://github.com/electron-userland/electron-builder,TypeScript,MIT License,10081,69,0,329,11,2.4,14,531,327,2.2,1979,0.72006,angular,2003
15,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,TypeScript,MIT License,6075,50,0,289,4,28.2,229,538,449,2.2,1934,0.71901,angular,1184
16,typeorm,https://github.com/typeorm/typeorm,TypeScript,MIT License,22464,59,0,634,6,6.7,12,1462,793,1.6,947,0.71463,angular,691
17,dvc,https://github.com/iterative/dvc,Python,Apache License 2.0,7005,47,0,202,5,25.4,117,731,562,2.2,1253,0.71078,angular,3628
18,pyinstaller,https://github.com/pyinstaller/pyinstaller,Python,Other,7550,187,0,387,4,7.9,3,414,303,2.6,804,0.67869,angular,2181
19,freeipa,https://github.com/freeipa/freeipa,Python,Other,502,165,0,186,5,17.7,10,302,266,3.3,189,0.67675,angular,3265
20,ceph-ansible,https://github.com/ceph/ceph-ansible,Python,Apache License 2.0,1293,84,1,285,2,9.4,61,298,252,2.8,1684,0.66828,angular,2136
21,trezor-firmware,https://github.com/trezor/trezor-firmware,Python,,353,100,0,225,9,22.8,15,210,134,1.8,32,0.65661,angular,4890
22,sentry-python,https://github.com/getsentry/sentry-python,Python,"BSD 2-Clause ""Simplified"" License",835,32,0,79,5,5.1,28,136,94,2.6,3036,0.64791,angular,988
